date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:22	1801/1801	---MCZ	200	added ('OK')	application/javascript	etag:W/%22709-6103a61748dea%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min3958.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:22	12198/12198	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fa6-6103a6174a942%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:22	286096/286096	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245d90-6103a614c398f%22	https://preview.moxcreative.com/speakup/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-js/lottie.min.js?ver=4.10.18	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-js/lottie.mincd9f.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:23	75554/75554	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212722-6103a614c415f%22	https://preview.moxcreative.com/speakup/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-js/premium-addons.min.js?ver=4.10.18	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-js/premium-addons.mincd9f.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:23	158005/158005	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226935-5eca4b9a835d1%22	https://preview.moxcreative.com/speakup/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/mediaelement/mediaelement-and-player.min1f61.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:23	1191/1191	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a7-5e001b4059e5e%22	https://preview.moxcreative.com/speakup/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=6.4.3	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/mediaelement/mediaelement-migrate.min84fc.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:24	1107/1107	---MCZ	200	added ('OK')	application/javascript	etag:W/%22453-5f84648bebc9c%22	https://preview.moxcreative.com/speakup/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=6.4.3	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/mediaelement/wp-mediaelement.min84fc.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:24	5520/5520	---MCZ	200	added ('OK')	application/javascript	etag:W/%221590-609afc42b1de1%22	https://preview.moxcreative.com/speakup/wp-includes/js/imagesloaded.min.js?ver=5.0.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/imagesloaded.minbb93.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:24	143627/143627	---MCZ	200	added ('OK')	application/javascript	etag:W/%222310b-6103a6225a28b%22	https://preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-element-pack-lite/assets/js/bdt-uikit.min.js?ver=3.17.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-element-pack-lite/assets/js/bdt-uikit.mine7ad.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:24	4997/4997	---MCZ	200	added ('OK')	application/javascript	etag:W/%221385-6103a6173bee1%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.19.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/webpack.runtime.min225e.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
